GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0136,Javier Prado,L4,11,Sub,At Grade,-12.09074,-77.02269,0,0,0,0,-12.09074,-77.02269,POINT (-77.02269 -12.09074)
LIM-0137,Conde de San Isidro,L4,12,Sub,At Grade,-12.09229,-77.03362,0,0,0,0,-12.09229,-77.03362,POINT (-77.03362 -12.09229)
LIM-0138,Las Palmeras,L4,13,Sub,At Grade,-12.09301,-77.03866,0,0,0,0,-12.09301,-77.03866,POINT (-77.03866 -12.09301)
LIM-0139,Guillermo Prescott,L4,14,Sub,At Grade,-12.09423,-77.04734,0,0,0,0,-12.09423,-77.04734,POINT (-77.04734 -12.09423)
LIM-0140,Felipe Salaverry,L4,15,Sub,At Grade,-12.09462,-77.05079,0,0,0,0,-12.09462,-77.05079,POINT (-77.05079 -12.09462)
LIM-0141,Brasil,L4,16,Sub,At Grade,-12.08645,-77.06317,0,0,0,0,-12.08645,-77.06317,POINT (-77.06317 -12.08645)
LIM-0142,José de Sucre,L4,17,Sub,At Grade,-12.08303,-77.06741,0,0,0,0,-12.08303,-77.06741,POINT (-77.06741 -12.08303)
LIM-0143,Pando,L4,18,Sub,At Grade,-12.07832,-77.08073,0,0,0,0,-12.07832,-77.08073,POINT (-77.08073 -12.07832)
LIM-0144,Rafael Escando,L4,19,Sub,At Grade,-12.07736,-77.09342,0,0,0,0,-12.07736,-77.09342,POINT (-77.09342 -12.07736)
LIM-0145,Venezuela,L4,20,Sub,At Grade,-12.06252,-77.09724,0,0,0,0,-12.06252,-77.09724,POINT (-77.09724 -12.06252)
LIM-0146,Carmen de la Legua,L4,21,Sub,At Grade,-12.05311,-77.09811,0,0,0,0,-12.05311,-77.09811,POINT (-77.09811 -12.05311)
LIM-0147,Morales Duárez,L4,22,Sub,At Grade,-12.04027,-77.09917,0,0,0,0,-12.04027,-77.09917,POINT (-77.09917 -12.04027)
LIM-0148,Quilca,L4,23,Sub,At Grade,-12.03588,-77.09939,0,0,0,0,-12.03588,-77.09939,POINT (-77.09939 -12.03588)
LIM-0149,El Olivar,L4,24,Sub,At Grade,-12.02806,-77.10288,0,0,0,0,-12.02806,-77.10288,POINT (-77.10288 -12.02806)
LIM-0150,Aeropuerto,L4,25,Sub,At Grade,-12.02196,-77.1061,0,0,0,0,-12.02196,-77.1061,POINT (-77.1061 -12.02196)
LIM-0151,Bocanegra,L4,26,Sub,At Grade,-12.01205,-77.11092,0,0,0,0,-12.01205,-77.11092,POINT (-77.11092 -12.01205)
LIM-0152,Canta Callao,L4,27,Sub,At Grade,-12.00101,-77.11678,0,0,0,0,-12.00101,-77.11678,POINT (-77.11678 -12.00101)
LIM-0153,Gambetta,L4,28,Sub,At Grade,-11.99695,-77.12593,0,0,0,0,-11.99695,-77.12593,POINT (-77.12593 -11.99695)
LIM-0154,Villa Panamericana,L5,1,Sub,At Grade,-12.20624,-76.95401,0,0,0,0,-12.20624,-76.95401,POINT (-76.95401 -12.20624)
LIM-0155,Almacenes,L5,2,Sub,At Grade,-12.21214,-76.96376,0,0,0,0,-12.21214,-76.96376,POINT (-76.96376 -12.21214)
LIM-0156,Panamericana Sur,L5,3,Sub,At Grade,-12.2059,-76.97481,0,0,0,0,-12.2059,-76.97481,POINT (-76.97481 -12.2059)
LIM-0157,Santa Isabel,L5,4,Sub,At Grade,-12.19673,-76.97837,0,0,0,0,-12.19673,-76.97837,POINT (-76.97837 -12.19673)
LIM-0158,San Martin,L5,5,Sub,At Grade,-12.18786,-76.98831,0,0,0,0,-12.18786,-76.98831,POINT (-76.98831 -12.18786)
LIM-0159,Guardia Civil,L5,6,Sub,At Grade,-12.17853,-76.99587,0,0,0,0,-12.17853,-76.99587,POINT (-76.99587 -12.17853)
LIM-0160,Los Asteroides,L5,7,Sub,At Grade,-12.16798,-76.99863,0,0,0,0,-12.16798,-76.99863,POINT (-76.99863 -12.16798)
LIM-0161,Sagitario,L5,8,Sub,At Grade,-12.16017,-76.99443,0,0,0,0,-12.16017,-76.99443,POINT (-76.99443 -12.16017)
LIM-0162,Las Palmas,L5,9,Sub,At Grade,-12.15074,-77.00616,0,0,0,0,-12.15074,-77.00616,POINT (-77.00616 -12.15074)
LIM-0163,Rossevelt,L5,10,Sub,At Grade,-12.14709,-77.01171,0,0,0,0,-12.14709,-77.01171,POINT (-77.01171 -12.14709)
LIM-0164,Balta,L5,11,Sub,At Grade,-12.14171,-77.01774,0,0,0,0,-12.14171,-77.01774,POINT (-77.01774 -12.14171)
LIM-0165,Ramon Castilla,L5,12,Sub,At Grade,-12.13379,-77.01789,0,0,0,0,-12.13379,-77.01789,POINT (-77.01789 -12.13379)
LIM-0166,Benavides,L5,13,Sub,At Grade,-12.12614,-77.01814,0,0,0,0,-12.12614,-77.01814,POINT (-77.01814 -12.12614)
LIM-0167,Angamos,L5,14,Sub,At Grade,-12.11284,-77.01843,0,0,0,0,-12.11284,-77.01843,POINT (-77.01843 -12.11284)
LIM-0168,Atarjea,L6,1,Sub,At Grade,-12.02474,-76.96643,0,0,0,0,-12.02474,-76.96643,POINT (-76.96643 -12.02474)
